Date,Dressing Tandoor,Tandoori,Spl Leg,Boneless,Full Leg,Wings,Boiler,Egg
05/11/25,0,8.85,15.15,8.19,2.35,,,
06/11/25,0,9.45,10.1,10,,2,,
07/11/25,0,8,20.3,5,,3,,
08/11/25,0,14.8,20.5,5,,3,,
09/11/25,0,7,20,6,,,,
10/11/25,0,5.4,18.1,10,2.2,4,,
11/11/25,0,8.88,6.3,5,2,,,
12/11/25,0,4.35,5.2,,1,,,
13/11/25,0,4.6,15,3,,,,
14/11/25,0,4.35,8.28,5,,3,,
15/11/25,0,4.65,10.1,5,,,,
16/11/25,0,,15,6,,3,,
17/11/25,0,14.7,10.3,,,1,,
18/11/25,0,4.8,3,4,,,,
19/11/25,0,12.9,5,5,,3,,
20/11/25,0,,15,7,,3,,
21/11/25,0,8,20.1,7,,3,,
22/11/25,0,,8,5,2,,,
23/11/25,0,4.7,15.2,7,,2,,
24/11/25,0,6.8,12.4,5,3.5,1,0,
25/11/25,0,10.15,2.33,3,,,,
26/11/25,0,8,15,6,,,,
27/11/25,0,5,15.2,6,,6,,
28/11/25,0,4.85,20.35,6,,3,,
29/11/25,0,8.6,10.4,7,,2,,
30/11/25,0,,15,5,,,,
01/12/25,0,16.62,15,4,2,3,,
02/12/25,0,,,,,,,
03/12/25,0,10,15.1,10,,4,,
04/12/25,0,5,5.3,5,2.2,,,
